sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2
BOB2B,sample,overbank_sediments,Betwa,"Maharana et al., 2018",66,0.87,13.06,0.82,3.63,0.05,1.56,3.28,0.91,2.16,0.11,
BOB2C,sample,overbank_sediments,Betwa,"Maharana et al., 2018",56.56,1.18,16.19,0.86,6.27,0.05,1.98,3.83,0.53,2.12,0.1,
BOBO,sample,overbank_sediments,Betwa,"Maharana et al., 2018",62.63,0.99,13.64,1.01,4.83,0.09,1.67,3.82,0.81,2.08,0.12,
KOBA,sample,overbank_sediments,Ken,"Maharana et al., 2018",64.79,0.95,11.74,1.1,4.2,0.07,1.93,4.58,0.64,1.83,0.12,
KOBB,sample,overbank_sediments,Ken,"Maharana et al., 2018",68.01,0.63,10.49,1.33,3.96,0.06,1.38,4.99,0.71,2.03,0.07,
TOB,sample,overbank_sediments,Ton,"Maharana et al., 2018",61.21,1,16.58,0.85,6.27,0.11,1.85,1.64,0.59,2.58,0.08,
SMD1B,sample,overbank_sediments,Son,"Maharana et al., 2018",62.49,1.19,16.69,0.93,6.88,0.13,1.48,1.21,0.67,2.48,0.13,
SOB2A,sample,overbank_sediments,Son,"Maharana et al., 2018",73.07,1.19,11.53,1.27,4.53,0.09,0.98,1.12,0.94,2.43,0.09,
SOB2B,sample,overbank_sediments,Son,"Maharana et al., 2018",64.87,1.36,15.6,0.94,6.19,0.15,1.11,0.97,0.66,2.36,0.11,
YOBAG,sample,overbank_sediments,Yamuna,"Maharana et al., 2018",58.87,0.84,16.67,0.95,5.94,0.09,3.22,2.72,1.08,3.51,0.18,
YOBABD,sample,overbank_sediments,Yamuna,"Maharana et al., 2018",66.4,0.93,10.51,1.18,3.87,0.08,1.72,5.3,0.71,1.35,0.13,
GOBABD,sample,overbank_sediments,Ganga,"Maharana et al., 2018",73.87,0.53,12.48,0.74,2.68,0.06,1.93,1.79,1.52,2.66,0.12,
GOBSA,sample,overbank_sediments,Ganga,"Maharana et al., 2018",67,0.75,12.73,0.82,3.6,0.07,1.93,2.45,0.86,2.21,0.1,
GOBSB,sample,overbank_sediments,Ganga,"Maharana et al., 2018",57.47,0.99,14.95,1.1,6.1,0.1,2.45,4.66,0.68,2.42,0.12,
GOBSC,sample,overbank_sediments,Ganga,"Maharana et al., 2018",65.08,0.87,14.23,0.93,4.73,0.1,1.61,2.55,0.8,2.41,0.1,
GOBV,sample,overbank_sediments,Ganga,"Maharana et al., 2018",58.26,0.95,14.69,1.14,5.81,0.1,2.97,4.97,0.88,2.5,0.14,
GOBP,sample,overbank_sediments,Ganga,"Maharana et al., 2018",60.47,0.87,15.19,1.07,5.76,0.12,2.12,4.04,0.81,2.59,0.13,
GMDP,sample,overbank_sediments,Ganga,"Maharana et al., 2018",56,1.1,18.3,0.95,8.45,0.1,1.93,2.37,0.58,2.73,0.14,
GOBBA,sample,overbank_sediments,Ganga,"Maharana et al., 2018",70.91,0.57,9.43,0.97,2.45,0.06,2.01,5.17,1.27,2.11,0.13,
GOBBB,sample,overbank_sediments,Ganga,"Maharana et al., 2018",64.32,0.62,12.13,1.11,3.68,0.06,2.83,5.47,1.12,2.8,0.12,
CSS12,sample,suspended_sediments,Chambal,"Maharana et al., 2018",51.82,1,14.18,1.42,6.98,0.11,2.84,7.44,0.5,2.08,0.12,
CSS13,sample,suspended_sediments,Chambal,"Maharana et al., 2018",52.27,0.92,12.28,1.54,6,0.1,2.51,7.55,0.76,1.91,0.13,
SINSS12,sample,suspended_sediments,Sindh,"Maharana et al., 2018",57.82,0.74,13.63,1.32,5.35,0.12,2.41,8.27,0.79,1.89,0.14,
BSS12,sample,suspended_sediments,Betwa,"Maharana et al., 2018",53.84,1.3,17.75,0.96,9.27,0.14,2.33,3.32,0.34,1.58,0.11,
