sample,category,subcategory,subsubcategory,reference,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W)
KSS12,sample,suspended_sediments,Ken,"Maharana et al., 2018",94.9,97.39,85.66,94.29,87.68,0.39,20.21,77.45
KSS13,sample,suspended_sediments,Ken,"Maharana et al., 2018",87.87,93.54,78.89,86.31,83.43,0.86,25.65,47.62
TSS12,sample,suspended_sediments,Ton,"Maharana et al., 2018",94.28,97.05,81.9,93.26,83.98,0.46,32.87,75.9
SSS13,sample,suspended_sediments,Son,"Maharana et al., 2018",95.13,97.51,86.45,94.59,88.41,0.28,24.28,81.3
YSSAG13,sample,suspended_sediments,Yamuna,"Maharana et al., 2018",81.59,89.86,68.56,77.27,74.31,0.68,48.13,68.97
YSSABD13,sample,suspended_sediments,Yamuna,"Maharana et al., 2018",86.87,92.98,75.88,84.65,80.49,1.06,31.95,44.09
GSSABD12,sample,suspended_sediments,Ganga,"Maharana et al., 2018",81.65,89.9,67.72,76.89,73.29,0.69,54.02,71.09
GSSABD13,sample,suspended_sediments,Ganga,"Maharana et al., 2018",82.92,90.66,68.97,78.59,74.24,0.73,52.25,66.85
GSSACY12,sample,suspended_sediments,Ganga,"Maharana et al., 2018",88.08,93.66,76.53,85.96,80.71,1.13,34.27,41.9
GSSVIN13,sample,suspended_sediments,Ganga,"Maharana et al., 2018",88.33,93.8,75.29,85.88,79.23,0.93,36.03,51.48
GSSB12,sample,suspended_sediments,Ganga,"Maharana et al., 2018",86.63,92.84,73.09,83.59,77.45,0.76,42.01,60.79
GSSB13,sample,suspended_sediments,Ganga,"Maharana et al., 2018",87.27,93.2,72.89,84.14,76.98,0.98,43.99,53.89
S-1,sample,Silty_clay,Meghna,"Hossain, 2019",77.58,87.38,67.98,73.89,75.38,0.66,37.16,68.68
S-2,sample,Silty_clay,Meghna,"Hossain, 2019",76.15,86.46,66.96,72.36,74.81,0.62,37.41,70.69
S-3,sample,Sand,Meghna,"Hossain, 2019",68.81,81.52,60.69,63.99,70.37,0.73,38.35,69.79
S-4,sample,Silty_clay,Meghna,"Hossain, 2019",75.32,85.93,66.04,71.29,74.05,0.69,41.3,67.1
S-5,sample,Silty_clay,Meghna,"Hossain, 2019",75.04,85.74,65.49,70.78,73.49,0.73,42.84,66.38
